budget,genres,popularity,revenue,runtime,title,vote_average,cast
237000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",150.437577,2787965087,162.0,Avatar,7.2,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']"
300000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",139.082615,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']"
245000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",107.376788,880674609,148.0,Spectre,6.3,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']"
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",112.31295,1084939099,165.0,The Dark Knight Rises,7.6,"['Christian Bale', 'Michael Caine', 'Gary Oldman']"
260000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",43.926995,284139100,132.0,John Carter,6.1,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']"
258000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",115.699814,890871626,139.0,Spider-Man 3,5.9,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']"
260000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",48.681969,591794936,100.0,Tangled,7.4,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']"
280000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",134.279229,1405403694,141.0,Avengers: Age of Ultron,7.3,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']"
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",98.885637,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']"
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",155.790452,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']"
270000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",57.925623,391081192,154.0,Superman Returns,5.4,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']"
